"","Date","Headline","Description","HeadlineTerms","DescriptionTerms"
"1285","2019-02-08","Spain hires 1,700 new public workers to focus on Brexit issues","The Spanish government approved on Friday a decree to hire 1,735 new public workers to deal with the consequences of Brexit, particularly in the areas of border and customs control.","spain, hires, new, public, workers, focus, brexit, issues","spanish, government, approved, friday, decree, hire, new, public, workers, deal, consequences, brexit, particularly, areas, border, customs, control"
"1286","2019-02-08","EU urges May to seize Labour opening as way out of Brexit impasse","It's a proposal that is not even on the table, and reverses Theresa May's determined position - but EU officials are still urging her to grasp an offer from the Labour opposition to break an impasse over the terms of Britain's EU exit.","eu, urges, may, seize, labour, opening, way, brexit, impasse","s, proposal, even, table, reverses, theresa, may, s, determined, position, eu, officials, still, urging, grasp, offer, labour, opposition, break, impasse, terms, britain, s, eu, exit"
"1287","2019-02-08","In Brussels, EU gives May glimpse of Brexit hope","British Prime Minister Theresa May came away from a day in an increasingly impatient Brussels on Thursday with a pledge of renewed talks that held out some hope for a new Brexit deal, if no sign of compromise yet.","brussels, eu, gives, may, glimpse, brexit, hope","british, prime, minister, theresa, may, came, away, day, increasingly, impatient, brussels, thursday, pledge, renewed, talks, held, hope, new, brexit, deal, sign, compromise, yet"
"1288","2019-02-08","Lithuania sees flood of fintech firms apply for licences ahead of Brexit","About 100 financial companies and start-ups from Britain and elsewhere are applying for a licence in burgeoning fintech hub Lithuania to ensure they have access to the European Union after Brexit, the country's central bank told Reuters.","lithuania, sees, flood, fintech, firms, apply, licences, ahead, brexit","financial, companies, start, ups, britain, elsewhere, applying, licence, burgeoning, fintech, hub, lithuania, ensure, access, european, union, brexit, country, s, central, bank, told, reuters"
"1289","2019-02-08","EU's Barnier to reaffirm on Monday openness to rework Brexit political declaration","The EU's chief Brexit negotiator Michel Barnier said he would reiterate on Monday at a planned meeting with Britain's Brexit minister that the EU would not re-open the Brexit deal, but was ready to rework the political declaration that accompanies it.","eu, s, barnier, reaffirm, monday, openness, rework, brexit, political, declaration","eu, s, chief, brexit, negotiator, michel, barnier, said, reiterate, monday, planned, meeting, britain, s, brexit, minister, eu, re, open, brexit, deal, ready, rework, political, declaration, accompanies"
"1290","2019-02-08","UK, Norway, Iceland agree on citizens' rights if no-deal Brexit","Britain and the so-called EEA EFTA countries, Iceland, Liechtenstein and Norway, have reached an agreement on citizens' rights should Britain leave the EU without a withdrawal agreement, Iceland's government said on Friday.","uk, norway, iceland, agree, citizens, rights, deal, brexit","britain, called, eea, efta, countries, iceland, liechtenstein, norway, reached, agreement, citizens, rights, britain, leave, eu, without, withdrawal, agreement, iceland, s, government, said, friday"
"1291","2019-02-08","Bank of America appoints head of new EU unit in Brexit move","Bank of America Merrill Lynch has named Sanaz Zaimi as head of its new Paris-based European Union broker-dealer unit BofA Securities Europe, the U.S. bank said on Friday.","bank, america, appoints, head, new, eu, unit, brexit, move","bank, america, merrill, lynch, named, sanaz, zaimi, head, new, paris, based, european, union, broker, dealer, unit, bofa, securities, europe, u, s, bank, said, friday"
"1292","2019-02-08","May will press for changes to Brexit deal with Irish PM - spokeswoman","British Prime Minister Theresa May will use a dinner with Ireland's Leo Varadkar on Friday to build on talks she held with EU leaders and press her argument for legally binding changes to the Brexit divorce deal, her spokeswoman said.","may, will, press, changes, brexit, deal, irish, pm, spokeswoman","british, prime, minister, theresa, may, will, use, dinner, ireland, s, leo, varadkar, friday, build, talks, held, eu, leaders, press, argument, legally, binding, changes, brexit, divorce, deal, spokeswoman, said"
"1293","2019-02-08","Explainer - The Brexit backstop conundrum","A row between London and the European Union over the ""Irish backstop"" is blocking a Brexit deal and could mean Britain leaving on March 29 without one, disrupting trade.","explainer, brexit, backstop, conundrum","row, london, european, union, irish, backstop, blocking, brexit, deal, mean, britain, leaving, march, without, one, disrupting, trade"
"1294","2019-02-08","Factbox: Brexit - What will happen in the British parliament on February 14?","The British parliament is set to hold a debate on Brexit on Feb. 14 but this is not a re-run of a vote last month on whether to approve the exit deal Prime Minister Theresa May's negotiated with the European Union.","factbox, brexit, will, happen, british, parliament, february","british, parliament, set, hold, debate, brexit, feb, re, run, vote, last, month, whether, approve, exit, deal, prime, minister, theresa, may, s, negotiated, european, union"
"1295","2019-02-08","May says EU leaders want to ensure UK leaves with a deal","Prime Minister Theresa May said on Thursday that she saw and heard a desire from European Union leaders to ensure Britain leaves the bloc with a deal.","may, says, eu, leaders, want, ensure, uk, leaves, deal","prime, minister, theresa, may, said, thursday, saw, heard, desire, european, union, leaders, ensure, britain, leaves, bloc, deal"
"1296","2019-02-08","Authorities working to guard against hard Brexit fallout - German finance minister","German finance minister Olaf Scholz on Thursday warned Germans to prepare for a hard Brexit, and said that European authorities would aim to minimize the risks of Britain withdrawing from the European Union without a deal.","authorities, working, guard, hard, brexit, fallout, german, finance, minister","german, finance, minister, olaf, scholz, thursday, warned, germans, prepare, hard, brexit, said, european, authorities, aim, minimize, risks, britain, withdrawing, european, union, without, deal"
"1297","2019-02-08","More work to do for Brexit deal after Brussels talks - senior UK official","British Prime Minister Theresa May knows her government has ""got work to do"" to try to secure changes to her divorce deal with the European Union, a senior official in her office said, describing talks in Brussels as part of a process.","work, brexit, deal, brussels, talks, senior, uk, official","british, prime, minister, theresa, may, knows, government, got, work, try, secure, changes, divorce, deal, european, union, senior, official, office, said, describing, talks, brussels, part, process"
"1298","2019-02-08","May approaches number of Labour MPs for amendment to withdrawal motion - The Sun","Prime Minister Theresa May has approached a number of members of parliament from the opposition Labour Party to put forward an amendment to her withdrawal motion, The Sun newspaper reported late on Thursday.","may, approaches, number, labour, mps, amendment, withdrawal, motion, sun","prime, minister, theresa, may, approached, number, members, parliament, opposition, labour, party, put, forward, amendment, withdrawal, motion, sun, newspaper, reported, late, thursday"
"1299","2019-02-07","With Troubles in mind, Irish concern grows over British stance on border","As Britain's exit from the European Union grows closer with no agreement reached on the Irish border, many in Ireland fear that pro-Brexit British politicians have forgotten the bombs and bullets of three decades of conflict in Northern Ireland and fail to grasp how high the stakes are for the entire island.","troubles, mind, irish, concern, grows, british, stance, border","britain, s, exit, european, union, grows, closer, agreement, reached, irish, border, many, ireland, fear, pro, brexit, british, politicians, forgotten, bombs, bullets, three, decades, conflict, northern, ireland, fail, grasp, high, stakes, entire, island"
"1300","2019-02-07","U.S. congressman tells London Irish border could weigh on UK-U.S. trade deal","An influential U.S. Congressman warned Britain on Thursday that the prospects for any bilateral trade deal could be influenced by what agreement is reached over the Irish border in a Brexit accord.","u, s, congressman, tells, london, irish, border, weigh, uk, u, s, trade, deal","influential, u, s, congressman, warned, britain, thursday, prospects, bilateral, trade, deal, influenced, agreement, reached, irish, border, brexit, accord"
"1301","2019-02-07","Brexit deal needs insurance policy for Irish border - PM May's spokeswoman","British Prime Minister Theresa May is talking to the European Union about what form an insurance policy to ensure there is no return of a hard border on the island of Ireland should take, her spokeswoman said on Thursday.","brexit, deal, needs, insurance, policy, irish, border, pm, may, s, spokeswoman","british, prime, minister, theresa, may, talking, european, union, form, insurance, policy, ensure, return, hard, border, island, ireland, take, spokeswoman, said, thursday"
"1302","2019-02-07","France would oppose Brexit delay without a plan - government official","France would oppose any British request to delay Brexit if London was simply delaying making a decision, but could agree if London presented a credible political solution, a French government official said on Thursday.","france, oppose, brexit, delay, without, plan, government, official","france, oppose, british, request, delay, brexit, london, simply, delaying, making, decision, agree, london, presented, credible, political, solution, french, government, official, said, thursday"
"1303","2019-02-07","EU's Tusk sees no Brexit breakthroguh, says talks will continue","European Council President Donald Tusk said that British Prime Minister Theresa May's visit to Brussels on Thursday brought no breakthrough but that talks on Brexit between the EU and the UK would go on.","eu, s, tusk, sees, brexit, breakthroguh, says, talks, will, continue","european, council, president, donald, tusk, said, british, prime, minister, theresa, may, s, visit, brussels, thursday, brought, breakthrough, talks, brexit, eu, uk, go"
"1304","2019-02-07","EU's Verhofstadt - closer ties after Brexit could overcome backstop impasse","The European Union is ready to have a closer relationship with the United Kingdom after Brexit so that the contentious Irish border backstop would never have to be used, the Brexit pointman for the bloc's parliament said.","eu, s, verhofstadt, closer, ties, brexit, overcome, backstop, impasse","european, union, ready, closer, relationship, united, kingdom, brexit, contentious, irish, border, backstop, never, used, brexit, pointman, bloc, s, parliament, said"
"1305","2019-02-07","BoE's Carney says surprised by Tusk's Brexit 'hell' jibe","Bank of England Governor Mark Carney said on Thursday he was surprised by comments from European Council President Donald Tusk that there was a ""place in hell"" for British leaders who sold Brexit with no plan for delivering it.","boe, s, carney, says, surprised, tusk, s, brexit, hell, jibe","bank, england, governor, mark, carney, said, thursday, surprised, comments, european, council, president, donald, tusk, place, hell, british, leaders, sold, brexit, plan, delivering"
"1306","2019-02-07","Mobile roaming will not be protected in no-deal Brexit - UK minister","British tourists could see the return of expensive mobile roaming charges when they go on holiday the day after Britain leaves the European Union in the event of a no-deal Brexit, Digital Minister Jeremy Wright said on Thursday.","mobile, roaming, will, protected, deal, brexit, uk, minister","british, tourists, see, return, expensive, mobile, roaming, charges, go, holiday, day, britain, leaves, european, union, event, deal, brexit, digital, minister, jeremy, wright, said, thursday"
"1307","2019-02-07","BoE's Carney says Brexit might not be fully tied up by March 29","Bank of England Governor Mark Carney said on Thursday that Britain's departure from the European Union, scheduled in 50 days' time, might not be fully ""tied up"" by then.","boe, s, carney, says, brexit, might, fully, tied, march","bank, england, governor, mark, carney, said, thursday, britain, s, departure, european, union, scheduled, days, time, might, fully, tied"
"1308","2019-02-07","Eleventh-hour Brexit deal? Legislation backlog may still prompt delay","If Britain's parliament has not approved a Brexit deal by the end of February, Prime Minister Theresa May is likely to have to seek a delay to Britain's March 29 exit from the EU as there will not be time to pass all the required legislation.","eleventh, hour, brexit, deal, legislation, backlog, may, still, prompt, delay","britain, s, parliament, approved, brexit, deal, end, february, prime, minister, theresa, may, likely, seek, delay, britain, s, march, exit, eu, will, time, pass, required, legislation"
"1309","2019-02-07","Factbox - What Brexit legislation does Britain still need to pass before EU exit?","Britain is due to leave the European Union on March 29, yet in reality the deadline for reaching an exit deal with the European Union is likely to be well before that date if parliament is to pass necessary legislation in time.","factbox, brexit, legislation, britain, still, need, pass, eu, exit","britain, due, leave, european, union, march, yet, reality, deadline, reaching, exit, deal, european, union, likely, well, date, parliament, pass, necessary, legislation, time"
"1310","2019-02-07","Corbyn puts forward terms for backing May on Brexit","British opposition leader Jeremy Corbyn met Prime Minister Theresa May last week and has written her a letter putting forward five demands by his Labour Party on the Brexit deal, his party said late on Wednesday.","corbyn, puts, forward, terms, backing, may, brexit","british, opposition, leader, jeremy, corbyn, met, prime, minister, theresa, may, last, week, written, letter, putting, forward, five, demands, labour, party, brexit, deal, party, said, late, wednesday"
"1311","2019-02-07","German SPD leader supports Labour leader's Brexit demands - paper","The leader of Germany's Social Democrats (SPD), junior partner in Chancellor Angela Merkel's ruling coalition, has written to Britain's Labour Party leader to support his demands on a Brexit deal, the Rheinische Post newspaper reported.","german, spd, leader, supports, labour, leader, s, brexit, demands, paper","leader, germany, s, social, democrats, spd, junior, partner, chancellor, angela, merkel, s, ruling, coalition, written, britain, s, labour, party, leader, support, demands, brexit, deal, rheinische, post, newspaper, reported"
"1312","2019-02-07","Merkel says Brexit solution is possible without reopening divorce deal","German Chancellor Angela Merkel said on Thursday she believes a solution to the Irish border issue can be reached in Brexit negotiations without reopening the Withdrawal Agreement on Britain's departure from the European Union.","merkel, says, brexit, solution, possible, without, reopening, divorce, deal","german, chancellor, angela, merkel, said, thursday, believes, solution, irish, border, issue, can, reached, brexit, negotiations, without, reopening, withdrawal, agreement, britain, s, departure, european, union"
"1313","2019-02-07","EU's Juncker, UK's May 'working together' to find Brexit solution","European Commission President Jean-Claude Juncker told British Prime Minister Theresa May during their ""robust but constructive"" talks on Thursday that the European Union would not renegotiate the Brexit deal.","eu, s, juncker, uk, s, may, working, together, find, brexit, solution","european, commission, president, jean, claude, juncker, told, british, prime, minister, theresa, may, robust, constructive, talks, thursday, european, union, renegotiate, brexit, deal"
"1314","2019-02-07","UK parliament to debate Brexit motion on February 14  - Leadsom","Lawmakers will debate a parliamentary motion on Britain's exit from the European Union on February 14, House of Commons leader Andrea Leadsom said on Twitter.","uk, parliament, debate, brexit, motion, february, leadsom","lawmakers, will, debate, parliamentary, motion, britain, s, exit, european, union, february, house, commons, leader, andrea, leadsom, said, twitter"
"1315","2019-02-07","PM May will respond to Labour Brexit proposals - spokeswoman","British Prime Minister Theresa May will respond to a letter from opposition leader Jeremy Corbyn on his proposals for a Brexit deal but she has not changed her position that a customs union with the European Union should be ruled out, her spokeswoman said on Thursday.","pm, may, will, respond, labour, brexit, proposals, spokeswoman","british, prime, minister, theresa, may, will, respond, letter, opposition, leader, jeremy, corbyn, proposals, brexit, deal, changed, position, customs, union, european, union, ruled, spokeswoman, said, thursday"
"1316","2019-02-07","""Special place in hell"" for Brexiteers, says EU's Tusk","British leaders who sold Brexit with no plan for how to deliver it deserve a ""special place in hell"", the EU's Donald Tusk said, revealing frustration in Brussels and sparking fury among anti-EU campaigners.","special, place, hell, brexiteers, says, eu, s, tusk","british, leaders, sold, brexit, plan, deliver, deserve, special, place, hell, eu, s, donald, tusk, said, revealing, frustration, brussels, sparking, fury, among, anti, eu, campaigners"
"1317","2019-02-07","EU's Tusk hell comments not brilliant diplomacy - PM May's deputy","Britain's Cabinet Office minister David Lidington said European Council President Donald Tusk's comments that Brexiteers with no plan of how to deliver it deserve a ""special place in hell"" was not brilliant diplomacy.","eu, s, tusk, hell, comments, brilliant, diplomacy, pm, may, s, deputy","britain, s, cabinet, office, minister, david, lidington, said, european, council, president, donald, tusk, s, comments, brexiteers, plan, deliver, deserve, special, place, hell, brilliant, diplomacy"
"1318","2019-02-07","UK house builders show caution as Brexit approaches - NHBC","British construction firms are making a cautious start to 2019 after slowing their house-building plans late last year in the face of Brexit uncertainty, an industry body said on Thursday.","uk, house, builders, show, caution, brexit, approaches, nhbc","british, construction, firms, making, cautious, start, slowing, house, building, plans, late, last, year, face, brexit, uncertainty, industry, body, said, thursday"
"1319","2019-02-06","Colony or not, we're British, say Gibraltarians. And keep the border open","With London fuming over whether Gibraltar should still be called a ""colony"", residents of the British outpost on the southern tip of Spain said they were more worried about life after Brexit than about which word best explained their status.","colony, re, british, say, gibraltarians, keep, border, open","london, fuming, whether, gibraltar, still, called, colony, residents, british, outpost, southern, tip, spain, said, worried, life, brexit, word, best, explained, status"
"1320","2019-02-06","EU rebuffs May, says no-plan Brexiteers deserve 'place in hell'","The European Union will make no new offer on Brexit and those who promoted Britain's exit without any understanding of how to deliver it deserve a ""special place in hell"", European Council President Donald Tusk said on Wednesday.","eu, rebuffs, may, says, plan, brexiteers, deserve, place, hell","european, union, will, make, new, offer, brexit, promoted, britain, s, exit, without, understanding, deliver, deserve, special, place, hell, european, council, president, donald, tusk, said, wednesday"
"1321","2019-02-06","May set to delay second parliament vote on Brexit deal - report","Prime Minister Theresa May is preparing to delay the second parliament vote on her Brexit deal until the end of February, the Telegraph newspaper reported late on Wednesday.","may, set, delay, second, parliament, vote, brexit, deal, report","prime, minister, theresa, may, preparing, delay, second, parliament, vote, brexit, deal, end, february, telegraph, newspaper, reported, late, wednesday"
"1322","2019-02-06","Brexit deal must change to avoid no deal departure - UK PM's spokesman","There will have to be changes to the Brexit agreement if the European Union wants Britain to leave with a deal, a spokesman for Prime Minister Theresa May said on Wednesday.","brexit, deal, must, change, avoid, deal, departure, uk, pm, s, spokesman","will, changes, brexit, agreement, european, union, wants, britain, leave, deal, spokesman, prime, minister, theresa, may, said, wednesday"
"1323","2019-02-06","Juncker says EU won't reopen Brexit deal, Britain's May knows that","European Commission President Jean-Claude Juncker said on Wednesday he would tell British Prime Minister Theresa May when she travels to Brussels on Thursday that the EU's stalled withdrawal agreement with Britain cannot be renegotiated.","juncker, says, eu, won, t, reopen, brexit, deal, britain, s, may, knows","european, commission, president, jean, claude, juncker, said, wednesday, tell, british, prime, minister, theresa, may, travels, brussels, thursday, eu, s, stalled, withdrawal, agreement, britain, renegotiated"
"1324","2019-02-06","Ireland increasingly prepared for no-deal Brexit, says PM","Ireland is increasingly prepared for a no-deal Brexit, Prime Minister Leo Varadkar said on Wednesday, while highlighting Dublin did not want things to end in such an abrupt split.","ireland, increasingly, prepared, deal, brexit, says, pm","ireland, increasingly, prepared, deal, brexit, prime, minister, leo, varadkar, said, wednesday, highlighting, dublin, want, things, end, abrupt, split"
"1325","2019-02-06","Factbox: The Brexit compromise that helped send PM May back to Brussels","British Prime Minister Theresa May has won the backing of parliament to seek changes to her Brexit deal, thanks in large part to a peace accord between both eurosceptic and pro-EU factions within her divided Conservative Party.","factbox, brexit, compromise, helped, send, pm, may, back, brussels","british, prime, minister, theresa, may, won, backing, parliament, seek, changes, brexit, deal, thanks, large, part, peace, accord, eurosceptic, pro, eu, factions, within, divided, conservative, party"
"1326","2019-02-06","Question for Tusk on whether Brexit language is helpful - May's spokesman","British Prime Minister Theresa May's spokesman said on Wednesday it was a question for European Council President Donald Tusk on whether his choice of language about Brexit supporters was helpful, responding to Tusk's remarks in Brussels earlier.","question, tusk, whether, brexit, language, helpful, may, s, spokesman","british, prime, minister, theresa, may, s, spokesman, said, wednesday, question, european, council, president, donald, tusk, whether, choice, language, brexit, supporters, helpful, responding, tusk, s, remarks, brussels, earlier"
"1327","2019-02-06","EU now sees Brexit unstoppable, aims to avert 'fiasco'","EU summit chairman Donald Tusk said he had abandoned hope that Brexit might be stopped and said on Wednesday his priority was now to avert a ""fiasco"" in 50 days if Britain crashes out without a deal.","eu, now, sees, brexit, unstoppable, aims, avert, fiasco","eu, summit, chairman, donald, tusk, said, abandoned, hope, brexit, might, stopped, said, wednesday, priority, now, avert, fiasco, days, britain, crashes, without, deal"
"1328","2019-02-06","Irish nationalists warn May: no-deal Brexit means a unity referendum","Irish nationalists warned British Prime Minister Theresa May on Wednesday that if she allowed a disorderly no-deal Brexit then there would have to be a referendum on Irish unity.","irish, nationalists, warn, may, deal, brexit, means, unity, referendum","irish, nationalists, warned, british, prime, minister, theresa, may, wednesday, allowed, disorderly, deal, brexit, referendum, irish, unity"
"1329","2019-02-06","UK's Fox says does not support zero tariffs if no Brexit deal","Trade minister Liam Fox said on Wednesday he did not support the idea of slashing tariffs on all imports to zero if Britain leaves the European Union without a deal.","uk, s, fox, says, support, zero, tariffs, brexit, deal","trade, minister, liam, fox, said, wednesday, support, idea, slashing, tariffs, imports, zero, britain, leaves, european, union, without, deal"
"1330","2019-02-06","UK MP to May: Get Brussels to talk and we will give you more time","British Prime Minister Theresa May will be given more time by her Conservative Party to negotiate Brexit with the European Union if she can convince Brussels to talk, a member of parliament involved in discussions with the government said on Wednesday.","uk, mp, may, get, brussels, talk, will, give, time","british, prime, minister, theresa, may, will, given, time, conservative, party, negotiate, brexit, european, union, can, convince, brussels, talk, member, parliament, involved, discussions, government, said, wednesday"
"1331","2019-02-06","After meeting May, Northern Irish UUP says she is exploring time limit for backstop","British Prime Minister Theresa May discussed putting a time limit on the so-called Irish border backstop in talks with Northern Ireland's Ulster Unionist Party, the party's leader said on Wednesday.","meeting, may, northern, irish, uup, says, exploring, time, limit, backstop","british, prime, minister, theresa, may, discussed, putting, time, limit, called, irish, border, backstop, talks, northern, ireland, s, ulster, unionist, party, party, s, leader, said, wednesday"
"1332","2019-02-06","Delaying Brexit would extend uncertainty - Greg Clark","Delaying Brexit would extend rather than resolve the uncertainty that is hurting the economy, Britain's business secretary Greg Clark told a parliament committee on Wednesday.","delaying, brexit, extend, uncertainty, greg, clark","delaying, brexit, extend, rather, resolve, uncertainty, hurting, economy, britain, s, business, secretary, greg, clark, told, parliament, committee, wednesday"
"1333","2019-02-06","Sterling to slump on no-deal Brexit, rise a bit on orderly exit - Reuters poll","Sterling will gain between 2 and 5 percent if Britain parts ways with the European Union with a divorce deal but will slide between 5 and 10 percent in the event of a disorderly Brexit, a Reuters poll found on Wednesday.","sterling, slump, deal, brexit, rise, bit, orderly, exit, reuters, poll","sterling, will, gain, percent, britain, parts, ways, european, union, divorce, deal, will, slide, percent, event, disorderly, brexit, reuters, poll, found, wednesday"
"1334","2019-02-05","PM May denies 'shafting' Northern Ireland over Brexit backstop","British Prime Minister Theresa May denied ""shafting"" Northern Ireland in a visit to the province after she said she would seek changes to the backstop border arrangements to secure support for her withdrawal agreement with the European Union.","pm, may, denies, shafting, northern, ireland, brexit, backstop","british, prime, minister, theresa, may, denied, shafting, northern, ireland, visit, province, said, seek, changes, backstop, border, arrangements, secure, support, withdrawal, agreement, european, union"
"1335","2019-02-05","UK ministers hold secret talks of delaying Brexit by eight weeks - The Telegraph","UK cabinet ministers have secretly held talks on plans to delay Brexit by eight weeks, the Telegraph newspaper reported late on Tuesday.","uk, ministers, hold, secret, talks, delaying, brexit, eight, weeks, telegraph","uk, cabinet, ministers, secretly, held, talks, plans, delay, brexit, eight, weeks, telegraph, newspaper, reported, late, tuesday"
"1336","2019-02-05","UK ministers examining secret plan of keeping Irish border open -The Sun","Britain's department for exiting the European Union has been examining a secret new high-tech plan of keeping the Irish border open with the plan to be ready for a road test in March, the Sun newspaper reported late on Tuesday.","uk, ministers, examining, secret, plan, keeping, irish, border, open, sun","britain, s, department, exiting, european, union, examining, secret, new, high, tech, plan, keeping, irish, border, open, plan, ready, road, test, march, sun, newspaper, reported, late, tuesday"
"1337","2019-02-05","EU, Ireland in talks on emergency fund to offset no-deal Brexit - Guardian","The European Union and Ireland are in discussions over a substantial Brexit emergency fund in order to offset the impact of a no-deal Brexit on Ireland's food exports to Britain, the Guardian newspaper reported on Tuesday.","eu, ireland, talks, emergency, fund, offset, deal, brexit, guardian","european, union, ireland, discussions, substantial, brexit, emergency, fund, order, offset, impact, deal, brexit, ireland, s, food, exports, britain, guardian, newspaper, reported, tuesday"
"1338","2019-02-05","Exclusive: Britain's financial heartland unbowed as Brexit risks deepen","Britain's financial services industry has emerged largely unscathed so far from the build-up to Brexit, with about 2,000 roles expected to have moved or been created overseas even as the risk of a disorderly exit grows, a new Reuters survey showed.","exclusive, britain, s, financial, heartland, unbowed, brexit, risks, deepen","britain, s, financial, services, industry, emerged, largely, unscathed, far, build, brexit, roles, expected, moved, created, overseas, even, risk, disorderly, exit, grows, new, reuters, survey, showed"
"1339","2019-02-05","May to visit Brussels in search of a Brexit deal","Prime Minister Theresa May will travel to Brussels on Thursday to tell European Union leaders they must accept legally binding changes to the Irish border arrangements of Britain's divorce deal or face the prospect of a disorderly no-deal Brexit.","may, visit, brussels, search, brexit, deal","prime, minister, theresa, may, will, travel, brussels, thursday, tell, european, union, leaders, must, accept, legally, binding, changes, irish, border, arrangements, britain, s, divorce, deal, face, prospect, disorderly, deal, brexit"
"1340","2019-02-05","In Brexit bid, May to meet EU's Tusk in Brussels","British Prime Minister Theresa May will meet European Council President Donald Tusk on Thursday in an attempt to get changes to her Brexit deal, her spokesman said on Tuesday.","brexit, bid, may, meet, eu, s, tusk, brussels","british, prime, minister, theresa, may, will, meet, european, council, president, donald, tusk, thursday, attempt, get, changes, brexit, deal, spokesman, said, tuesday"
"1341","2019-02-05","Too little too late? No-deal Brexit planning shakes service suppliers","From Britain's hospitals and schools to its prisons and armed forces, firms supplying essential public services have been asked by the government to outline plans for a no-deal Brexit.","little, late, deal, brexit, planning, shakes, service, suppliers","britain, s, hospitals, schools, prisons, armed, forces, firms, supplying, essential, public, services, asked, government, outline, plans, deal, brexit"
"1342","2019-02-05","Factbox: Reuters surveys UK financial services jobs ahead of Brexit","Around 2,000 finance jobs are expected to have been shifted or created overseas ahead of Britain's exit from the European Union, Reuters' fourth survey of leading financial services companies shows.","factbox, reuters, surveys, uk, financial, services, jobs, ahead, brexit","around, finance, jobs, expected, shifted, created, overseas, ahead, britain, s, exit, european, union, reuters, fourth, survey, leading, financial, services, companies, shows"
"1343","2019-02-05","Risk of no-deal Brexit still seen low, delay likelier, banks say","The risk Britain will crash out of the EU without an agreement is low but rising, according to banks and asset managers who also see a growing likelihood of Brexit being  delayed.","risk, deal, brexit, still, seen, low, delay, likelier, banks, say","risk, britain, will, crash, eu, without, agreement, low, rising, according, banks, asset, managers, also, see, growing, likelihood, brexit, delayed"
"1344","2019-02-05","In search of a Brexit deal, May to visit Brussels","Prime Minister Theresa May will travel to Brussels on Thursday to tell European Union leaders they must accept legally binding changes to the Irish border arrangements of the divorce deal or face the prospect of a disorderly no-deal Brexit.","search, brexit, deal, may, visit, brussels","prime, minister, theresa, may, will, travel, brussels, thursday, tell, european, union, leaders, must, accept, legally, binding, changes, irish, border, arrangements, divorce, deal, face, prospect, disorderly, deal, brexit"
"1345","2019-02-05","May told ministers she wants legally binding changes to Brexit deal","Prime Minister Theresa May told her top ministers on Tuesday  her objective was to secure legally binding changes to Britain's EU exit deal to ensure that the country could not be trapped indefinitely in the Northern Irish backstop, her spokesman said.","may, told, ministers, wants, legally, binding, changes, brexit, deal","prime, minister, theresa, may, told, top, ministers, tuesday, objective, secure, legally, binding, changes, britain, s, eu, exit, deal, ensure, country, trapped, indefinitely, northern, irish, backstop, spokesman, said"
"1346","2019-02-05","EU is waiting to hear PM May's Brexit plan - Commission","The European Union wants to hear what Theresa May plans to do on Brexit, a spokesman for the bloc said before the British prime minister holds talks in Brussels on Thursday.","eu, waiting, hear, pm, may, s, brexit, plan, commission","european, union, wants, hear, theresa, may, plans, brexit, spokesman, bloc, said, british, prime, minister, holds, talks, brussels, thursday"
"1347","2019-02-05","Brexit and the City - A barometer for London's financial outlook","A few miles down the River Thames from the British parliament at Westminster, months of political tremors over Brexit have still barely registered on a monitor of London's financial services.","brexit, city, barometer, london, s, financial, outlook","miles, river, thames, british, parliament, westminster, months, political, tremors, brexit, still, barely, registered, monitor, london, s, financial, services"
"1348","2019-02-05","Still time for Brexit solution, says Merkel","There is still time to find a solution to the impasse on Britain's withdrawal from the European Union, German Chancellor Angela Merkel said in Japan on Tuesday.","still, time, brexit, solution, says, merkel","still, time, find, solution, impasse, britain, s, withdrawal, european, union, german, chancellor, angela, merkel, said, japan, tuesday"
"1349","2019-02-04","Northern Ireland's Trimble plans challenge to Brexit Irish backstop","Northern Ireland's David Trimble, a pro-British leader who won the Nobel peace prize in 1998, plans to take the British government to court over the Irish border backstop in the Brexit deal agreed by Prime Minister Theresa May.","northern, ireland, s, trimble, plans, challenge, brexit, irish, backstop","northern, ireland, s, david, trimble, pro, british, leader, won, nobel, peace, prize, plans, take, british, government, court, irish, border, backstop, brexit, deal, agreed, prime, minister, theresa, may"
"1350","2019-02-04","British Transport Secretary says Brexit will not be delayed","The process of Britain leaving the European Union will not be delayed via an extension of the Article 50 exit negotiation period, British Transport Secretary Chris Grayling told the Telegraph newspaper in an interview published late Monday.","british, transport, secretary, says, brexit, will, delayed","process, britain, leaving, european, union, will, delayed, via, extension, article, exit, negotiation, period, british, transport, secretary, chris, grayling, told, telegraph, newspaper, interview, published, late, monday"
"1351","2019-02-04","May urges business leaders to ask EU to avoid no-deal Brexit - FT","Prime Minister Theresa May has urged business leaders to ask European Union policymakers to avoid a no-deal or a hard Brexit, the Financial Times reported on Monday.","may, urges, business, leaders, ask, eu, avoid, deal, brexit, ft","prime, minister, theresa, may, urged, business, leaders, ask, european, union, policymakers, avoid, deal, hard, brexit, financial, times, reported, monday"
"1352","2019-02-04","Britain should not view March 28 as deadline to reach Brexit deal - business minister","Britain does not have until the day before its March 29 exit from the European Union to reach a Brexit deal as businesses have to make decisions now, business minister Greg Clark said on Monday.","britain, view, march, deadline, reach, brexit, deal, business, minister","britain, day, march, exit, european, union, reach, brexit, deal, businesses, make, decisions, now, business, minister, greg, clark, said, monday"
